"Date","Comp","Negative","Neutral","Positive"
"2017-12-27","0.931","0.046","0.824","0.13"
"2017-12-28","0.91","0.051","0.774","0.175"
"2017-12-29","0.92","0.072","0.777","0.151"
"2017-12-30","0.984","0.01","0.833","0.157"
"2017-12-31","0.935","0.038","0.845","0.117"
"2018-01-01","0.98","0.02","0.789","0.191"
"2018-01-02","0.71","0.063","0.834","0.103"
"2018-01-03","0.978","0.018","0.83","0.152"
"2018-01-04","0.985","0.046","0.764","0.189"
"2018-01-05","0.889","0.069","0.813","0.119"
"2018-01-06","0.975","0.042","0.819","0.139"
"2018-01-07","0.98","0.044","0.771","0.185"
"2018-01-08","0.971","0.015","0.873","0.112"
"2018-01-09","0.965","0.016","0.871","0.113"
"2018-01-10","0.951","0.018","0.836","0.147"
"2018-01-11","0.91","0.068","0.826","0.106"
"2018-01-12","0.92","0.05","0.822","0.128"
"2018-01-13","0.989","0.031","0.781","0.187"
"2018-01-14","0.959","0.03","0.834","0.136"
"2018-01-15","0.681","0.059","0.86","0.081"
"2018-01-16","0.939","0.036","0.847","0.117"
"2018-01-17","0.981","0","0.787","0.213"
"2018-01-18","0.681","0.048","0.859","0.092"
"2018-01-19","0.896","0.037","0.828","0.134"
"2018-01-20","0.977","0.038","0.787","0.175"
"2018-01-21","0.992","0.038","0.786","0.176"
"2018-01-22","0.986","0.023","0.827","0.15"
"2018-01-23","0.937","0.025","0.876","0.099"
"2018-01-24","0.832","0.078","0.798","0.124"
"2018-01-25","0.949","0","0.907","0.093"
"2018-01-26","0.991","0.023","0.805","0.172"
"2018-01-27","0.979","0.01","0.85","0.14"
"2018-01-28","0.985","0.028","0.817","0.155"
"2018-01-29","0.976","0.047","0.777","0.176"
"2018-01-30","0.993","0.01","0.731","0.259"
"2018-01-31","0.718","0.05","0.863","0.087"
"2018-02-01","0.9","0.051","0.84","0.108"
"2018-02-02","0.912","0.034","0.862","0.104"
"2018-02-03","0.898","0.127","0.673","0.2"
"2018-02-04","0.948","0.052","0.81","0.138"
"2018-02-05","0.974","0.076","0.722","0.201"
"2018-02-06","0.967","0.027","0.882","0.091"
"2018-02-07","0.973","0","0.89","0.11"
"2018-02-08","0.972","0.012","0.835","0.152"
"2018-02-09","0.709","0.059","0.837","0.104"
"2018-02-10","0.97","0.075","0.754","0.171"
"2018-02-11","0.973","0.036","0.835","0.129"
"2018-02-12","0.988","0.008","0.834","0.157"
"2018-02-13","0.97","0.028","0.839","0.133"
"2018-02-14","0.991","0.064","0.683","0.253"
"2018-02-15","0.97","0.06","0.748","0.191"
"2018-02-16","0.273","0.056","0.87","0.075"
"2018-02-17","0.98","0.04","0.798","0.162"
"2018-02-18","0.964","0.012","0.89","0.097"
"2018-02-19","0.957","0.039","0.836","0.126"
"2018-02-20","0.986","0.033","0.746","0.22"
"2018-02-21","0.836","0.03","0.878","0.092"
"2018-02-22","0.984","0.086","0.731","0.184"
"2018-02-23","0.976","0.024","0.819","0.157"
"2018-02-24","0.974","0.03","0.869","0.101"
"2018-02-25","0.869","0.042","0.88","0.077"
"2018-02-26","0.981","0.028","0.827","0.145"
"2018-02-27","0.98","0.016","0.865","0.12"
"2018-02-28","0.948","0.074","0.793","0.133"
"2018-03-01","-0.823","0.123","0.796","0.081"
"2018-03-02","-0.735","0.081","0.854","0.066"
"2018-03-03","0.991","0.022","0.813","0.166"
"2018-03-04","0.943","0.011","0.887","0.102"
"2018-03-05","0.947","0.036","0.836","0.128"
"2018-03-06","0.87","0.037","0.826","0.137"
"2018-03-07","0.96","0","0.886","0.114"
"2018-03-08","0.961","0","0.874","0.126"
"2018-03-09","0.93","0.099","0.726","0.175"
"2018-03-10","-0.511","0.082","0.852","0.067"
"2018-03-11","0.985","0.032","0.802","0.166"
"2018-03-12","0.995","0.032","0.721","0.247"
"2018-03-13","0.832","0.04","0.865","0.095"
"2018-03-14","0.936","0.066","0.793","0.141"
"2018-03-15","0.917","0.059","0.798","0.143"
"2018-03-16","0.856","0.047","0.828","0.125"
"2018-03-17","0.818","0.007","0.95","0.043"
"2018-03-18","0.902","0.027","0.883","0.09"
"2018-03-19","0.976","0.039","0.811","0.15"
"2018-03-20","0.993","0.023","0.812","0.165"
"2018-03-21","0.926","0.035","0.844","0.121"
"2018-03-22","0.991","0.024","0.804","0.172"
"2018-03-23","0.956","0.037","0.857","0.106"
"2018-03-24","0.66","0.072","0.824","0.104"
