"Date","Comp","Negative","Neutral","Positive"
"2018-03-05","0.637","0","0.951","0.049"
"2018-03-06","0.052","0.082","0.842","0.075"
"2018-03-07","0.891","0.027","0.784","0.189"
"2018-03-08","0.318","0.035","0.896","0.068"
"2018-03-09","0.836","0.022","0.865","0.113"
"2018-03-10","0.914","0.021","0.848","0.13"
"2018-03-11","0.908","0.064","0.731","0.205"
"2018-03-12","0.103","0.06","0.87","0.07"
"2018-03-13","0.178","0.101","0.791","0.108"
"2018-03-14","0.941","0","0.787","0.213"
"2018-03-15","0.758","0","0.92","0.08"
"2018-03-16","0.751","0.063","0.81","0.127"
"2018-03-17","0.957","0.018","0.814","0.168"
"2018-03-18","0.949","0","0.83","0.17"
"2018-03-19","0.421","0.021","0.931","0.048"
"2018-03-20","0.802","0.046","0.827","0.127"
"2018-03-21","-0.625","0.059","0.941","0"
"2018-03-22","0.727","0.062","0.847","0.091"
"2018-03-23","0.989","0.007","0.784","0.21"
"2018-03-24","0.931","0.05","0.769","0.181"
"2018-03-25","0.917","0.044","0.805","0.151"
"2018-03-26","0","0","1","0"
"2018-03-27","0.904","0.084","0.74","0.176"
"2018-03-28","0.92","0.049","0.804","0.147"
"2018-03-29","0.402","0.034","0.902","0.064"
"2018-03-30","0.71","0","0.936","0.064"
"2018-03-31","0.904","0","0.853","0.147"
"2018-04-01","0.962","0.031","0.807","0.162"
"2018-04-02","0.382","0.054","0.853","0.093"
"2018-04-03","0.949","0","0.866","0.134"
"2018-04-04","0.511","0.019","0.932","0.049"
"2018-04-05","0.889","0.007","0.94","0.054"
"2018-04-06","0.859","0","0.879","0.121"
"2018-04-07","0.511","0.033","0.861","0.106"
"2018-04-08","0.459","0.06","0.815","0.124"
"2018-04-09","0.954","0.019","0.857","0.124"
"2018-04-10","0.983","0.045","0.724","0.231"
"2018-04-11","0.988","0","0.809","0.191"
"2018-04-12","0.931","0.025","0.891","0.085"
"2018-04-13","0.878","0.057","0.848","0.095"
"2018-04-14","0.807","0.036","0.851","0.113"
"2018-04-15","0.993","0.046","0.699","0.255"
"2018-04-16","0.71","0.024","0.86","0.116"
"2018-04-17","0.795","0","0.882","0.118"
"2018-04-18","-0.382","0.05","0.95","0"
"2018-04-19","0.975","0","0.841","0.159"
"2018-04-20","0.612","0.036","0.887","0.077"
"2018-04-21","0.981","0.015","0.83","0.155"
"2018-04-22","0.929","0","0.877","0.123"
"2018-04-23","0.886","0","0.919","0.081"
"2018-04-24","0.832","0","0.844","0.156"
"2018-04-25","0.612","0.032","0.911","0.057"
"2018-04-26","0.976","0.072","0.714","0.214"
"2018-04-27","0.878","0.027","0.887","0.087"
"2018-04-28","0.421","0.087","0.774","0.139"
"2018-04-29","0.7","0","0.96","0.04"
"2018-04-30","-0.889","0.168","0.806","0.026"
"2018-05-01","0.927","0.011","0.916","0.073"
"2018-05-02","0.691","0.081","0.809","0.11"
"2018-05-03","0.778","0.008","0.949","0.043"
"2018-05-04","0.962","0.03","0.681","0.289"
"2018-05-05","0.751","0","0.89","0.11"
"2018-05-06","0.982","0.032","0.789","0.179"
"2018-05-07","0.848","0.086","0.748","0.166"
"2018-05-08","0.67","0.042","0.89","0.067"
"2018-05-09","0.44","0.052","0.856","0.092"
"2018-05-10","-0.881","0.136","0.825","0.04"
"2018-05-11","0.735","0.056","0.843","0.101"
"2018-05-12","0.886","0.042","0.836","0.122"
"2018-05-13","0.986","0.023","0.818","0.16"
"2018-05-14","0.572","0.092","0.788","0.12"
"2018-05-15","0.557","0.022","0.908","0.069"
"2018-05-16","0.969","0.04","0.746","0.214"
"2018-05-17","0.511","0.027","0.916","0.057"
"2018-05-18","0.743","0.094","0.755","0.151"
"2018-05-19","0.572","0.027","0.912","0.061"
"2018-05-20","0.735","0","0.956","0.044"
"2018-05-21","0.963","0.03","0.794","0.176"
"2018-05-22","0.695","0.033","0.88","0.087"
"2018-05-23","0.226","0.068","0.844","0.087"
"2018-05-24","-0.718","0.081","0.884","0.035"
"2018-05-25","0.637","0.073","0.781","0.146"
"2018-05-26","0.943","0.045","0.797","0.158"
"2018-05-27","0.958","0.029","0.794","0.177"
"2018-05-28","0.925","0.045","0.815","0.141"
"2018-05-29","0.965","0.017","0.802","0.181"
"2018-05-30","-0.273","0.035","0.941","0.025"
"2018-05-31","-0.318","0.031","0.969","0"
"2018-06-01","0.935","0.018","0.786","0.196"
"2018-06-02","0.949","0.021","0.791","0.188"
"2018-06-03","0.625","0.082","0.806","0.112"
"2018-06-04","0.829","0.059","0.805","0.136"
"2018-06-05","0.952","0","0.835","0.165"
"2018-06-06","0.599","0","0.924","0.076"
"2018-06-07","0.765","0.011","0.928","0.061"
"2018-06-08","0.402","0.039","0.901","0.06"
"2018-06-09","0.735","0","0.925","0.075"
"2018-06-10","0.927","0.019","0.841","0.14"
"2018-06-11","0.912","0.023","0.859","0.118"
"2018-06-12","0.908","0.021","0.824","0.154"
"2018-06-13","0.751","0.021","0.914","0.065"
"2018-06-14","0.958","0.047","0.742","0.211"
"2018-06-15","0.973","0.027","0.779","0.193"
"2018-06-16","0.931","0.04","0.768","0.192"
"2018-06-17","-0.448","0.133","0.788","0.079"
"2018-06-18","0.727","0.037","0.862","0.1"
"2018-06-19","0.988","0.073","0.674","0.252"
"2018-06-20","0.382","0.084","0.829","0.088"
"2018-06-21","0.758","0","0.951","0.049"
"2018-06-22","0.542","0","0.929","0.071"
"2018-06-23","0.938","0.086","0.733","0.181"
"2018-06-24","-0.477","0.12","0.824","0.056"
"2018-06-25","0.866","0.037","0.855","0.108"
"2018-06-26","0.459","0.046","0.887","0.067"
"2018-06-27","0.923","0.031","0.882","0.086"
"2018-06-28","0.934","0","0.859","0.141"
"2018-06-29","0.925","0","0.911","0.089"
"2018-06-30","-0.361","0.029","0.971","0"
"2018-07-01","0.807","0","0.931","0.069"
"2018-07-02","0.809","0.036","0.841","0.123"
"2018-07-03","-0.599","0.097","0.871","0.032"
"2018-07-04","0.979","0.037","0.789","0.174"
"2018-07-05","0.915","0","0.835","0.165"
"2018-07-06","0.791","0.064","0.801","0.136"
"2018-07-07","0.681","0.029","0.882","0.089"
"2018-07-08","0.836","0.026","0.878","0.096"
"2018-07-09","0.956","0.041","0.824","0.135"
"2018-07-10","0.881","0.028","0.873","0.099"
"2018-07-11","0.459","0.058","0.808","0.133"
"2018-07-12","0.526","0.059","0.837","0.104"
"2018-07-13","0.785","0.088","0.774","0.138"
"2018-07-14","0.992","0.011","0.732","0.257"
"2018-07-15","0.906","0","0.892","0.108"
"2018-07-16","0.957","0.018","0.81","0.172"
"2018-07-17","0.934","0","0.831","0.169"
"2018-07-18","0.586","0.064","0.838","0.098"
"2018-07-19","0.727","0","0.843","0.157"
"2018-07-20","0.612","0","0.942","0.058"
"2018-07-21","0.956","0.029","0.755","0.216"
"2018-07-22","0.691","0","0.91","0.09"
"2018-07-23","0.917","0.041","0.841","0.118"
"2018-07-24","0.978","0","0.796","0.204"
"2018-07-25","0.527","0","0.945","0.055"
"2018-07-26","0.948","0.098","0.709","0.193"
"2018-07-27","0.964","0.01","0.858","0.132"
"2018-07-28","0.778","0","0.92","0.08"
"2018-07-29","0.743","0.161","0.658","0.181"
"2018-07-30","0.571","0.024","0.906","0.07"
"2018-07-31","0.813","0","0.925","0.075"
"2018-08-01","0.964","0.039","0.776","0.184"
"2018-08-02","0.982","0.064","0.736","0.2"
"2018-08-03","0.906","0.013","0.855","0.132"
"2018-08-04","0.937","0.03","0.799","0.172"
"2018-08-05","-0.103","0.046","0.913","0.042"
"2018-08-06","0.8","0.065","0.786","0.148"
"2018-08-07","0.836","0","0.879","0.121"
"2018-08-08","0.735","0.091","0.745","0.164"
"2018-08-09","0.937","0.069","0.686","0.245"
"2018-08-10","0.178","0","0.972","0.028"
"2018-08-11","0.969","0.043","0.763","0.194"
"2018-08-12","0.875","0.043","0.801","0.156"
"2018-08-13","0.613","0.04","0.846","0.114"
"2018-08-14","0.964","0.012","0.831","0.156"
"2018-08-15","0.66","0.056","0.808","0.136"
"2018-08-16","-0.226","0.095","0.838","0.067"
"2018-08-17","0.178","0","0.971","0.029"
"2018-08-18","0.934","0.066","0.782","0.152"
"2018-08-19","0.494","0.049","0.895","0.056"
"2018-08-20","0.599","0.025","0.925","0.05"
"2018-08-21","0.401","0.025","0.925","0.05"
"2018-08-22","0.599","0.042","0.877","0.081"
"2018-08-23","0.71","0","0.922","0.078"
"2018-08-24","0.66","0.037","0.83","0.133"
"2018-08-25","0.077","0.041","0.906","0.054"
"2018-08-26","0.977","0.041","0.736","0.223"
"2018-08-27","0.681","0.028","0.887","0.085"
"2018-08-28","0.951","0","0.777","0.223"
"2018-08-29","0.477","0","0.931","0.069"
"2018-08-30","0.103","0.097","0.825","0.078"
"2018-08-31","0.228","0.093","0.81","0.098"
"2018-09-01","0.153","0.056","0.88","0.064"
"2018-09-02","0.956","0","0.809","0.191"
"2018-09-03","0.933","0.02","0.865","0.114"
"2018-09-04","0.796","0","0.921","0.079"
"2018-09-05","0.916","0.024","0.84","0.136"
"2018-09-06","0.649","0.052","0.865","0.084"
"2018-09-07","0.815","0.041","0.875","0.084"
"2018-09-08","-0.153","0.084","0.842","0.074"
"2018-09-09","0.987","0.04","0.714","0.246"
"2018-09-10","0.862","0","0.868","0.132"
"2018-09-11","0.929","0.012","0.854","0.135"
"2018-09-12","0.862","0","0.885","0.115"
"2018-09-13","0.836","0","0.878","0.122"
"2018-09-14","0.153","0.053","0.873","0.075"
"2018-09-15","0.974","0.028","0.769","0.203"
"2018-09-16","0.802","0","0.922","0.078"
"2018-09-17","0.791","0.034","0.854","0.112"
"2018-09-18","0.827","0","0.832","0.168"
"2018-09-19","0.827","0.015","0.893","0.092"
"2018-09-20","0.765","0.06","0.808","0.132"
"2018-09-21","-0.317","0.084","0.846","0.071"
"2018-09-22","0.869","0","0.879","0.121"
"2018-09-23","0.814","0.043","0.843","0.114"
"2018-09-24","-0.66","0.142","0.755","0.104"
"2018-09-25","0.915","0.03","0.784","0.185"
"2018-09-26","0.973","0","0.704","0.296"
"2018-09-27","0.542","0.034","0.898","0.068"
"2018-09-28","0.912","0.014","0.928","0.058"
"2018-09-29","0.952","0.024","0.81","0.167"
"2018-09-30","0.8","0.023","0.915","0.062"
"2018-10-01","0.751","0","0.875","0.125"
"2018-10-02","0.66","0.021","0.903","0.076"
"2018-10-03","0.878","0","0.924","0.076"
"2018-10-04","0.893","0.05","0.835","0.115"
"2018-10-05","0.935","0","0.833","0.167"
"2018-10-06","0.637","0","0.953","0.047"
"2018-10-07","0.7","0.03","0.892","0.078"
"2018-10-08","0.836","0","0.881","0.119"
"2018-10-09","0.822","0.058","0.782","0.16"
"2018-10-10","0.813","0","0.865","0.135"
"2018-10-11","0.807","0","0.925","0.075"
"2018-10-12","0.103","0.029","0.922","0.048"
"2018-10-13","0.751","0","0.924","0.076"
"2018-10-14","0.933","0","0.775","0.225"
"2018-10-15","0.827","0.031","0.851","0.118"
"2018-10-16","0.494","0","0.932","0.068"
"2018-10-17","0.97","0.031","0.836","0.133"
"2018-10-18","-0.153","0.051","0.905","0.044"
"2018-10-19","0","0.064","0.872","0.064"
"2018-10-20","0.625","0.042","0.867","0.092"
"2018-10-21","0.542","0.02","0.948","0.032"
"2018-10-22","0.915","0","0.883","0.117"
"2018-10-23","0.818","0.044","0.853","0.102"
"2018-10-24","0.649","0","0.931","0.069"
"2018-10-25","0.904","0.016","0.874","0.11"
"2018-10-26","0.791","0.044","0.849","0.106"
