"Date","Comp","Negative","Neutral","Positive"
"2017-11-20","0.904","0.034","0.767","0.199"
"2017-11-21","0.818","0.026","0.82","0.154"
"2017-11-22","0.945","0","0.796","0.204"
"2017-11-23","0.7","0","0.901","0.099"
"2017-11-24","0.962","0.037","0.846","0.117"
"2017-11-25","0.637","0.067","0.833","0.1"
"2017-11-26","0.856","0.033","0.814","0.153"
"2017-11-27","0.103","0.093","0.8","0.107"
"2017-11-28","0.807","0.044","0.844","0.112"
"2017-11-29","0.765","0.03","0.891","0.079"
"2017-11-30","-0.586","0.109","0.839","0.051"
"2017-12-01","0.977","0","0.69","0.31"
"2017-12-02","0.931","0.088","0.629","0.284"
"2017-12-03","-0.153","0.066","0.881","0.053"
"2017-12-04","0.936","0.074","0.707","0.218"
"2017-12-05","0.974","0.098","0.495","0.407"
"2017-12-06","0.622","0.069","0.838","0.093"
"2017-12-07","0.557","0.067","0.814","0.119"
"2017-12-08","0.103","0.071","0.853","0.076"
"2017-12-09","0.827","0","0.837","0.163"
"2017-12-10","0.395","0.037","0.879","0.084"
"2017-12-11","0.718","0.141","0.637","0.221"
"2017-12-12","0.84","0.039","0.814","0.147"
"2017-12-13","0.946","0.035","0.678","0.288"
"2017-12-14","0.912","0","0.77","0.23"
"2017-12-15","0.926","0.017","0.863","0.12"
"2017-12-16","0.919","0.026","0.752","0.222"
"2017-12-17","0.943","0","0.743","0.257"
"2017-12-18","-0.844","0.109","0.874","0.017"
"2017-12-19","0.962","0","0.747","0.253"
"2017-12-20","0.649","0.095","0.715","0.19"
"2017-12-21","0.974","0.011","0.776","0.214"
"2017-12-22","0.961","0.013","0.817","0.171"
"2017-12-23","0.71","0","0.921","0.079"
"2017-12-24","0.727","0.082","0.773","0.144"
"2017-12-25","0.986","0.067","0.528","0.406"
"2017-12-26","0.153","0.124","0.748","0.128"
"2017-12-27","0.973","0.032","0.483","0.486"
"2017-12-28","0.912","0.022","0.806","0.173"
"2017-12-29","0.981","0.092","0.637","0.27"
"2017-12-30","0.751","0","0.921","0.079"
"2017-12-31","0.957","0","0.839","0.161"
"2018-01-01","0.979","0","0.733","0.267"
"2018-01-02","0.968","0","0.765","0.235"
"2018-01-03","0.026","0.07","0.858","0.072"
"2018-01-04","0.942","0.052","0.745","0.203"
"2018-01-05","0.966","0.108","0.523","0.369"
"2018-01-06","0.941","0.024","0.722","0.254"
"2018-01-07","0.178","0.082","0.804","0.114"
"2018-01-08","0.848","0.03","0.843","0.127"
"2018-01-09","0.955","0.063","0.745","0.192"
"2018-01-10","0.962","0","0.7","0.3"
"2018-01-11","0.9","0.024","0.821","0.155"
"2018-01-12","0.026","0.054","0.89","0.056"
"2018-01-13","0.979","0.013","0.665","0.322"
"2018-01-14","0.889","0","0.824","0.176"
"2018-01-15","0.97","0.013","0.674","0.312"
"2018-01-16","0.967","0.069","0.614","0.317"
"2018-01-17","0.891","0.072","0.655","0.273"
"2018-01-18","-0.542","0.134","0.792","0.074"
"2018-01-19","0.542","0.041","0.889","0.07"
"2018-01-20","0.128","0.088","0.83","0.082"
"2018-01-21","0.92","0.066","0.706","0.228"
"2018-01-22","0.939","0.034","0.707","0.26"
"2018-01-23","0.978","0","0.737","0.263"
"2018-01-24","0.96","0","0.694","0.306"
"2018-01-25","0.878","0.118","0.649","0.233"
"2018-01-26","0.971","0.031","0.759","0.21"
"2018-01-27","0.957","0","0.72","0.28"
"2018-01-28","0.992","0","0.385","0.615"
"2018-01-29","0.919","0.059","0.623","0.318"
"2018-01-30","0.735","0.068","0.807","0.125"
"2018-01-31","0.903","0.089","0.694","0.217"
"2018-02-01","-0.44","0.088","0.912","0"
"2018-02-02","-0.947","0.148","0.819","0.033"
"2018-02-03","0.944","0.024","0.838","0.138"
"2018-02-04","0.917","0","0.701","0.299"
"2018-02-05","0.71","0","0.889","0.111"
"2018-02-06","0.96","0.031","0.742","0.226"
"2018-02-07","0.944","0","0.818","0.182"
"2018-02-08","0.727","0.081","0.76","0.159"
"2018-02-09","0.963","0","0.762","0.238"
"2018-02-10","0.077","0.068","0.862","0.07"
"2018-02-11","0.952","0","0.821","0.179"
"2018-02-12","0.925","0.082","0.634","0.284"
"2018-02-13","0.946","0.023","0.758","0.219"
"2018-02-14","-0.055","0.071","0.868","0.061"
"2018-02-15","0.875","0.026","0.829","0.145"
"2018-02-16","0.946","0.091","0.605","0.304"
"2018-02-17","0.967","0","0.605","0.395"
"2018-02-18","0.936","0.081","0.685","0.233"
"2018-02-19","0.84","0.123","0.675","0.202"
"2018-02-20","-0.71","0.149","0.798","0.053"
"2018-02-21","0.927","0.05","0.749","0.201"
"2018-02-22","0.985","0","0.668","0.332"
"2018-02-23","0.896","0.072","0.705","0.224"
"2018-02-24","0.985","0.024","0.534","0.442"
"2018-02-25","0.936","0.075","0.691","0.234"
"2018-02-26","0.802","0","0.927","0.073"
"2018-02-27","0.969","0","0.744","0.256"
"2018-02-28","0.933","0.021","0.732","0.246"
"2018-03-01","0.917","0","0.848","0.152"
